Function,Gene,NH4_1,NH4_2,NH4_3,NH4_average,alanine_1,alanine_2,alanine_3,alanine_average,log2FoldChange,pvalue,qvalue
DNA-directed RNA polymerase subunit H,HVO_0346,11.930821,12.011875,12.015601,11.986099,11.848337,11.478144,11.224525,11.517002,-0.469097,0.062622245,0.372462159
LtrC-like protein,HVO_A0104,8.379161,7.0161777,7.777106,7.724148233,7.390807,7.431383,6.947234,7.256474667,-0.467673567,0.331661311,0.65607814
conserved hypothetical protein,HVO_1600,9.121734,9.279925,9.5021925,9.301283833,8.893378,9.008162,8.600166,8.833902,-0.467381833,0.046491766,0.324465302
conserved hypothetical protein,HVO_0274,7.849391,6.611355,7.2439194,7.234888467,6.836073,7.077166,6.3895926,6.767610533,-0.467277933,0.318296496,0.65607814
unknown protein,HVO_A0021,8.838031,8.80491,8.264582,8.635841,8.173313,8.292719,8.045368,8.170466667,-0.465374333,0.079629733,0.415346186
conserved hypothetical protein,HVO_1619,7.4758134,7.6316266,6.9841886,7.3638762,6.8582306,7.124726,6.7144437,6.899133433,-0.464742767,0.112453542,0.481237853
translation initiation factor aIF-5B,HVO_1963,9.9713955,10.3129425,9.951539,10.07862567,9.625517,9.279689,9.938897,9.614701,-0.463924667,0.106659591,0.469655768
conserved hypothetical protein,HVO_0840,9.451137,9.390006,9.0379,9.293014333,8.884082,9.334854,8.271107,8.830014333,-0.463,0.238036745,0.632037423
MIF4G domain-containing protein / MA3 domain-containing protein,HVO_0410,8.080602,7.350127,8.302308,7.911012333,7.95157,8.044355,6.348324,7.448083,-0.462929333,0.497514161,0.713676721
DNA-directed RNA polymerase subunit M homolog,HVO_A0279A,9.173098,8.441336,8.785668,8.800034,8.419702,8.94115,7.653957,8.338269667,-0.461764333,0.342771928,0.660370822
cell division protein FtsZ,HVO_A0035,9.414329,8.7064905,8.246692,8.7891705,8.490084,9.039604,7.4554405,8.328376167,-0.460794333,0.468042528,0.696831004
Uncharacterized protein conserved in archaea,HVO_1560,8.859989,9.336065,8.87513,9.023728,8.049351,8.3289795,9.31177,8.563366833,-0.460361167,0.327917645,0.65607814
ABC-type transport system permease protein (probable substrate sugar),HVO_A0147,8.345393,8.058292,8.281915,8.228533333,7.9780784,7.835445,7.4950666,7.76953,-0.459003333,0.052026662,0.339322828
Nucleotidyltransferase domain protein,HVO_A0419,10.662959,10.263352,9.986331,10.304214,10.00601,10.404842,9.125145,9.845332333,-0.458881667,0.342046913,0.660370822
ABC-type transport system permease protein (probable substrate glutamine),HVO_2431,11.7409935,12.881249,12.680125,12.4341225,12.7541685,11.757038,11.414854,11.9753535,-0.458769,0.438503743,0.690380151
hypothetical protein,HVO_1182,9.745575,10.043539,9.985261,9.924791667,9.681271,9.653014,9.065558,9.466614333,-0.458177333,0.106199208,0.468145845
unknown protein,HVO_A0061,7.774507,6.1732254,6.2727814,6.740171267,6.1107755,6.5300565,6.219641,6.286824333,-0.453346933,0.442917183,0.691624206
XerC/D-like integrase,HVO_2259,10.113543,8.6414,8.968732,9.241225,9.475234,8.471426,8.421021,8.789227,-0.451998,0.467097745,0.696625941
hypothetical protein,HVO_0473,7.05443,7.138297,7.551417,7.248048,7.001873,7.2305818,6.1569533,6.796469367,-0.451578633,0.27894718,0.644379106
hypothetical protein,HVO_B0340,6.9369392,5.875315,6.5511317,6.454461967,6.061712,5.8526034,6.0949435,6.0030863,-0.451375667,0.230464121,0.629581184
transcription regulator,HVO_B0066,9.09949,10.471367,10.3010435,9.957300167,10.079853,9.142359,9.295899,9.506037,-0.451263167,0.434660299,0.687077069
Adenine phosphoribosyltransferase,HVO_1072,9.928358,10.536221,10.424337,10.29630533,9.489913,9.623757,10.421609,9.845093,-0.451212333,0.26177973,0.636745156
acetylglutamate kinase,HVO_0044,10.325286,10.7907915,10.56665,10.56090917,10.449951,9.818669,10.061079,10.10989967,-0.4510095,0.118767608,0.489173329
conserved hypothetical protein,HVO_A0357,8.761354,7.634451,7.7480316,8.047945533,7.718604,7.859841,7.2130075,7.597150833,-0.4507947,0.331709314,0.65607814
hypothetical protein,HVO_0273,7.7057357,6.419671,7.002081,7.0424959,6.5946474,6.8612814,6.3195224,6.591817067,-0.450678833,0.326438611,0.65607814
conserved hypothetical protein,HVO_1726,9.561081,9.39553,9.103999,9.353536667,8.927051,9.121733,8.662738,8.903840667,-0.449696,0.075550975,0.407682478
hypothetical protein,HVO_2132,7.5801315,6.8659215,6.4706173,6.972223433,6.784906,7.293369,5.4914703,6.523248433,-0.448975,0.513512644,0.722368321
oligosaccharyltransferase AglB,HVO_1530,8.68673,10.2230425,9.48091,9.463560833,9.383984,8.244056,9.417783,9.015274333,-0.4482865,0.488192147,0.707949675
CAIB/BAIF family protein,HVO_A0569,8.420777,8.531057,9.787417,8.913083667,9.418583,8.6744,7.3032455,8.4654095,-0.447674167,0.586971774,0.759575789
ArcR family transcription regulator,HVO_A0082,9.928738,8.856373,9.038694,9.274601667,9.392264,8.900534,8.197825,8.830207667,-0.444394,0.406448188,0.674592265
HAD-superfamily hydrolase,HVO_2954,6.8991685,6.777659,6.9497027,6.875510067,6.5590844,6.6686077,6.066887,6.431526367,-0.4439837,0.081765932,0.41925683
conserved hypothetical protein,HVO_1274,11.149984,10.342108,10.005986,10.49935933,9.679986,10.394287,10.0925665,10.05561317,-0.443746167,0.326937901,0.65607814
molybdopterin oxidoreductase,HVO_B0364,8.064246,6.4627028,6.9270244,7.1513244,6.411954,6.8399367,6.8758063,6.709232333,-0.442092067,0.425284284,0.683309935
XerC/D-like integrase,HVO_2829,7.1635857,6.3965187,6.1176357,6.5592467,5.9216332,6.3879,6.044148,6.117893733,-0.441352967,0.266938183,0.637112965
cation efflux protein,HVO_0244,9.227114,9.145415,9.000295,9.124274667,9.158225,9.142122,7.754273,8.684873333,-0.439401333,0.402792759,0.672446227
hypothetical protein,HVO_0380,10.543062,9.647352,9.5080185,9.8994775,9.518387,10.009104,8.855845,9.461112,-0.4383655,0.399791635,0.67080828
HTH/CBS domain protein,HVO_1559,8.827274,9.120288,9.141604,9.029722,8.50605,9.0110655,8.25823,8.591781833,-0.437940167,0.146643899,0.535996668
hypothetical protein,HVO_2224,8.077239,7.8925724,9.202399,8.3907368,8.125858,7.802592,7.9304457,7.952965233,-0.437771567,0.356087593,0.661493618
hypothetical protein,HVO_1480,6.699112,7.297227,7.442953,7.146430667,6.6249356,6.572317,6.937134,6.7114622,-0.434968467,0.162573955,0.554900601
transcription regulator Asn family,HVO_0921,8.021189,7.336126,7.7766185,7.711311167,7.3170433,7.8808193,6.632127,7.2766632,-0.434647967,0.351920208,0.661493618
serine acetyltransferase,HVO_2004,8.258295,8.475937,8.078629,8.270953667,7.9456544,7.908506,7.6569953,7.8370519,-0.433901767,0.041345558,0.306241343
ABC-type transport system permease protein (probable substrate glucose),HVO_B0314,8.7642145,6.8084893,7.595041,7.7225816,8.411097,6.9972825,6.458523,7.2889675,-0.4336141,0.622256529,0.781310203
"S2P family metalloprotease, transmembrane",HVO_1870,8.581708,8.883351,8.772636,8.745898333,8.400234,8.201625,8.3387985,8.3135525,-0.432345833,0.01505014,0.191002573
sugar epimerase/dehydratase homolog,HVO_B0032,7.6100655,6.077526,6.455058,6.7142165,6.222969,6.1763434,6.4546313,6.2846479,-0.4295686,0.41148839,0.676250809
ribosomal protein S17.eR,HVO_2475,9.195801,9.962982,10.079422,9.746068333,9.321555,9.3270445,9.306029,9.3182095,-0.427858833,0.19764978,0.602774471
hypothetical protein,HVO_0502,7.5094156,7.0342774,7.328663,7.290785333,6.9914775,7.342808,6.258008,6.864097833,-0.4266875,0.287726193,0.647424551
hypothetical protein,HVO_1511,8.025541,6.8591685,7.8795595,7.588089667,7.012299,7.3582296,7.114016,7.161514867,-0.4265748,0.325537223,0.65607814
conserved hypothetical protein,HVO_1741,11.219736,10.609866,10.327143,10.718915,10.887276,10.598411,9.397291,10.294326,-0.424589,0.465419027,0.696037096
sugar-specific transcriptional regulator,HVO_2073,9.783882,9.416678,9.373123,9.524561,9.44997,9.478535,8.374634,9.101046333,-0.423514667,0.33411813,0.65607814
replication factor C large subunit,HVO_2427,9.473034,9.925223,9.655037,9.684431333,9.348437,9.26679,9.16853,9.261252333,-0.423179,0.040127992,0.303773188
cox-type terminal oxidase subunit I/III,HVO_1645,7.0047193,6.765198,7.7360816,7.1686663,6.7889657,6.938788,6.510354,6.7460359,-0.4226304,0.254389797,0.635520671
adenine phosphoribosyltransferase,HVO_2250,7.44736,8.05081,7.8285885,7.775586167,6.995342,7.31421,7.750431,7.353327667,-0.4222585,0.207298382,0.610448142
aldehyde ferredoxin oxidoreductase,HVO_B0256,7.8578806,7.483514,7.6239576,7.6551174,7.308637,7.0933523,7.297701,7.2332301,-0.4218873,0.031296609,0.263404172
hypothetical protein,HVO_0269,8.453669,7.525802,8.63715,8.205540333,7.7289863,7.9014745,7.727747,7.786069267,-0.419471067,0.295418389,0.64982107
hypothetical protein,HVO_0828,9.839114,9.709612,9.452834,9.667186667,9.556556,9.690506,8.496536,9.247866,-0.419320667,0.347557352,0.661274739
response regulator CheY,HVO_1207,7.9196258,8.179963,7.622966,7.907518267,7.813515,7.840465,6.811549,7.488509667,-0.4190086,0.326263056,0.65607814
hypothetical protein,HVO_A0442,9.709914,8.937006,8.950339,9.199086333,8.932742,9.279889,8.131511,8.781380667,-0.417705667,0.381631249,0.664344575
histidine triad protein,HVO_0230,7.8566046,8.191406,8.639269,8.2290932,8.188623,8.03026,7.2245736,7.814485533,-0.414607667,0.330709981,0.65607814
acyl-CoA dehydrogenase,HVO_A0092,9.467957,9.273042,9.495811,9.41227,9.259666,8.87035,8.866008,8.998674667,-0.413595333,0.049202588,0.33064471
hypothetical protein,HVO_2920,7.8959627,7.524468,7.279134,7.566521567,6.864745,7.3692775,7.225168,7.1530635,-0.413458067,0.15171402,0.546481085
conserved hypothetical protein,HVO_A0239A,9.076499,7.715634,8.615825,8.469319333,7.9070797,8.256905,8.004188,8.056057567,-0.413261767,0.373625412,0.661493618
thioesterase,HVO_1719,7.5226374,7.905338,7.1441083,7.5240279,7.217856,7.1408687,6.974111,7.110945233,-0.413082667,0.148554185,0.540446445
tRNA pseudouridine synthase A,HVO_1852,9.552535,9.338153,9.073965,9.321551,8.228024,9.2477865,9.249791,8.908533833,-0.413017167,0.323757527,0.65607814
transcription regulator,HVO_1419,9.417129,9.310191,8.582078,9.103132667,8.861823,9.437186,7.773588,8.690865667,-0.412267,0.498016892,0.713883926
conserved hypothetical protein,HVO_0423,9.231122,9.516219,9.887675,9.545005333,9.41445,9.049736,8.935084,9.13309,-0.411915333,0.159596156,0.549293482
"YkoX, putative",HVO_0088,8.781589,8.631191,9.076257,8.829679,8.348883,8.681491,8.22365,8.418008,-0.411671,0.095027345,0.450188042
transcription regulator,HVO_2341,8.567753,8.333944,8.199362,8.367019667,8.051863,7.98282,7.8320966,7.9555932,-0.411426467,0.030677271,0.261256006
hypothetical protein,HVO_A0024,9.7750435,8.777156,8.866794,9.1396645,8.314653,9.220616,8.6546755,8.7299815,-0.409683,0.378420378,0.662396749
conserved hypothetical protein,HVO_A0058,8.59533,7.329941,8.142523,8.022598,7.59543,7.9156265,7.3287315,7.613262667,-0.409335333,0.371656913,0.661493618
SWIM zinc finger domain protein,HVO_1743,7.972471,7.0847535,6.8591113,7.305445267,6.595572,6.608129,7.4860744,6.8965918,-0.408853467,0.414823247,0.677237561
"dihydrodipicolinate synthase, putative",HVO_B0348,7.092684,6.0695925,6.9279795,6.696752,6.2189,6.093123,6.5539637,6.288662233,-0.408089767,0.303212409,0.65032166
ABC-type transport system ATP-binding protein (probable substrate glycerol-3-phosphate),HVO_B0295,7.584977,7.332756,7.3436213,7.420451433,7.0805874,6.828563,7.1303678,7.013172733,-0.4072787,0.0307616,0.261256006
putative membrane-bound metal-dependent hydrolase,HVO_0722,9.311759,9.11313,9.274408,9.233099,8.873886,9.213779,8.390572,8.826079,-0.40702,0.174031746,0.571265657
ABC-type transport system permease protein (probable substrate dipeptides/oligopeptides),HVO_B0124,7.3382163,5.750203,6.197985,6.428801433,5.931723,5.8822083,6.251698,6.021876433,-0.406925,0.450140752,0.695418617
hypothetical protein,HVO_A0113,9.477135,8.300283,8.755619,8.844345667,8.483604,8.547241,8.285142,8.438662333,-0.405683333,0.312804895,0.654544463
PAS domain S-box protein,HVO_B0202,8.251227,6.554411,7.24006,7.348566,6.929501,6.7943563,7.109208,6.9443551,-0.4042109,0.465171687,0.696037096
hypothetical protein,HVO_A0446,9.3912325,8.14159,9.018967,8.8505965,8.331685,8.603139,8.404904,8.446576,-0.4040205,0.346715321,0.661274739
mRNA 3-end processing factor homolog,HVO_0874,9.684048,9.959805,9.546618,9.730157,9.635319,9.080517,9.263989,9.326608333,-0.403548667,0.118314372,0.488583184
unknown protein,HVO_A0106,7.446875,6.1933713,6.7292194,6.7898219,6.3937526,6.337995,6.4276643,6.386470633,-0.403351267,0.330028268,0.65607814
ABC-type transport system permease protein (probable substrate phosphate),HVO_2376,8.825601,9.948879,9.5123005,9.428926833,9.486904,8.665295,8.925374,9.025857667,-0.403069167,0.378083794,0.662396749
hypothetical protein,HVO_0370,9.032078,8.06818,8.892601,8.664286333,8.454234,8.93262,7.40031,8.262388,-0.401898333,0.50062385,0.715818458
Protein of unknown function (DUF790) superfamily,HVO_A0440,9.379515,9.459672,8.988923,9.276036667,9.48559,8.759713,8.378888,8.874730333,-0.401306333,0.322306671,0.65607814
cox-type terminal oxidase subunit II,HVO_1646,7.108883,6.820102,7.8537674,7.260917467,6.6643777,7.097616,6.8184643,6.860152667,-0.4007648,0.295145133,0.64982107
unknown protein,HVO_B0374,7.2417808,5.8278737,5.5017395,6.190464667,5.694861,6.1717324,5.503597,5.790063467,-0.4004012,0.520966551,0.726816813
bacterio-opsin activator-like protein,HVO_2836,10.30532,10.602306,10.359257,10.42229433,10.628452,9.934849,9.502427,10.02190933,-0.400385,0.304778528,0.65032166
unknown protein,HVO_A0253,10.729146,9.9947605,9.961757,10.2285545,10.092795,10.052775,9.347277,9.830949,-0.3976055,0.31741167,0.65607814
hypothetical protein,HVO_0036,10.068148,9.711579,10.819683,10.19980333,10.042325,10.458436,8.906222,9.802327667,-0.397475667,0.522143566,0.726816813
transcription initiation factor TFB,HVO_A0137,8.113381,7.1498866,7.219287,7.494184867,7.046887,7.056685,7.1882524,7.0972748,-0.396910067,0.274303443,0.642058528
DNA-directed RNA polymerase subunit M2,HVO_2632,8.678431,8.037849,9.224825,8.647035,8.115235,8.644274,7.991542,8.250350333,-0.396684667,0.374399667,0.661493618
hypothetical protein (TBD),HVO_A0044,6.5095387,5.7663727,5.3833313,5.886414233,5.463122,5.5596104,5.452338,5.491690133,-0.3947241,0.300673746,0.650109412
conserved hypothetical protein,HVO_0526,7.471466,6.3939614,6.929657,6.9316948,6.2845483,6.9923205,6.3380733,6.538314033,-0.393380767,0.365085694,0.661493618
Glycosyl Hydrolase Family 88 superfamily,HVO_B0102,8.471393,7.3981566,7.6037946,7.824448067,7.569,7.402604,7.3221784,7.4312608,-0.393187267,0.307895984,0.652157061
Mov34-MPN-PAD-1 superfamily,HVO_2505,8.13602,8.89494,8.486782,8.505914,8.34538,7.7533865,8.243213,8.113993167,-0.391920833,0.241659774,0.633742828
"endoribonuclease L-PSP, putative",HVO_B0238,7.1113772,5.8119707,6.241597,6.388314967,5.918597,5.915489,6.15633,5.996805333,-0.391509633,0.372734516,0.661493618
hypothetical protein,HVO_B0377,8.412063,6.7086806,7.2389207,7.453221433,7.0186653,7.129554,7.0373726,7.061863967,-0.391357467,0.481158809,0.7040449
hypothetical protein,HVO_0886,7.423771,7.9677916,7.49319,7.628250867,7.3676143,6.8595114,7.4840846,7.2370701,-0.391180767,0.202481004,0.605770872
signal-transducing histidine kinase-like protein,HVO_B0196,9.05978,7.8590345,7.4868293,8.1352146,8.251868,8.086764,6.8938966,7.7441762,-0.3910384,0.573618373,0.752921349
hypothetical protein,HVO_0098,7.9632835,8.211454,7.9474115,8.040716333,7.4144697,7.964879,7.5711484,7.6501657,-0.390550633,0.101975854,0.461628185
cobalamin synthesis protein/P47K,HVO_B0243,6.9728355,5.696042,5.735297,6.134724833,5.6083837,5.6120753,6.0122614,5.744240133,-0.3904847,0.425074101,0.683309935
Membrane protein of unknown function superfamily,HVO_2859,7.612561,8.132798,7.049443,7.598267333,7.5350676,7.5469604,6.5446415,7.208889833,-0.3893775,0.441523775,0.69153616
ABC-type transport system ATP-binding protein (probable substrate sulfonate),HVO_1601,6.9555326,7.4701385,7.0676017,7.164424267,6.540605,6.543093,7.245255,6.776317667,-0.3881066,0.240426683,0.633742828
formate dehydrogenase alpha subunit,HVO_B0235,8.07262,6.7450395,6.947618,7.2550925,6.757392,6.6556945,7.189698,6.867594833,-0.387497667,0.432246254,0.685459352
IS1341-type transposase,HVO_A0008,10.261415,10.236689,9.952356,10.15015333,10.071103,10.183335,9.03437,9.762936,-0.387217333,0.364607451,0.661493618
hypothetical protein,HVO_B0010,8.153291,6.745803,7.334272,7.411122,6.8950925,6.6099086,7.570626,7.025209033,-0.385912967,0.481399714,0.7040449
twin arginine translocation system subunit TatCt,HVO_0185,8.575277,9.258893,9.183605,9.005925,8.996652,8.65089,8.212874,8.620138667,-0.385786333,0.285861835,0.646700265
Pyridoxamine 5-phosphate oxidase family,HVO_0491,11.654543,11.85376,11.720126,11.74280967,11.305546,11.764145,11.003332,11.35767433,-0.385135333,0.167614867,0.561286099
"Sugar kinase, ribokinase family",HVO_0373,7.8502374,7.1334596,8.20186,7.728519,7.501833,7.930141,6.6143475,7.348773833,-0.379745167,0.489008718,0.708103104
conserved protein,HVO_1018,9.937209,10.824471,10.665765,10.475815,10.320374,9.5908785,10.377349,10.0962005,-0.3796145,0.365740449,0.661493618
DNA-directed RNA polymerase subunit M1,HVO_1385,7.172846,8.073024,7.532727,7.592865667,7.058532,7.006927,7.5760655,7.2138415,-0.379024167,0.299862513,0.650109412
chaperone protein DnaJ,HVO_1589,9.680092,9.90374,9.906503,9.830111667,9.500055,9.507629,9.347556,9.451746667,-0.378365,0.014356911,0.187028851
"MFS transporter, phthalate permease family, putative",HVO_A0565,7.45764,7.854367,8.387379,7.899795333,7.6913548,7.603137,7.2730913,7.5225277,-0.377267633,0.274109118,0.642058528
"Domain of unknown function, putative",HVO_0032,6.7382884,7.220773,7.4018755,7.1203123,6.9145994,6.7109094,6.6046076,6.743372133,-0.376940167,0.158738212,0.549293482
"glycosyl transferase, group 1 family protein",HVO_1168,8.895422,9.537814,9.097519,9.176918333,8.945807,8.591163,8.865098,8.800689333,-0.376229,0.159321823,0.549293482
conserved hypothetical protein,HVO_B0084,6.9559913,7.0057745,6.5775485,6.8464381,6.3791323,6.0951505,6.936351,6.470211267,-0.376226833,0.252545875,0.635520671
hypothetical protein,HVO_2248,11.0232725,11.371665,11.076679,11.1572055,11.03104,11.213453,10.102254,10.782249,-0.3749565,0.35726987,0.661493618
DNA mismatch repair protein mutS,HVO_0191,8.481681,8.831661,8.855393,8.722911667,8.811106,8.427333,7.8071947,8.348544567,-0.3743671,0.302295405,0.650294283
Na+/Ca2+-antiporter,HVO_2155,9.492144,9.02034,8.858179,9.123554333,8.58837,9.097948,8.566536,8.750951333,-0.372603,0.22142094,0.62421968
conserved hypothetical protein,HVO_2868,7.404522,6.5771236,6.9939837,6.991876433,6.6246567,7.155066,6.079145,6.619622567,-0.372253867,0.395879628,0.668300866
Mov34-MPN-PAD-1 superfamily,HVO_1016,6.3311853,7.142823,6.1778097,6.550606,6.1747246,6.101837,6.2660356,6.180865733,-0.369740267,0.289581751,0.6479412
"cytidylate kinase, putative",HVO_2494,11.26566,11.579338,11.211362,11.35212,11.024129,10.766481,11.160379,10.983663,-0.368457,0.08632008,0.430013823
ABC-type transport system permease protein (probable substrate dipeptides/oligopeptides),HVO_B0091,8.556094,7.1795106,8.024638,7.920080867,7.529826,7.240636,7.886965,7.552475667,-0.3676052,0.452593513,0.696037096
Luciferase-like monooxygenase superfamily,HVO_B0113,7.6989856,6.747556,6.7388144,7.061785333,6.5707245,6.550873,6.963501,6.695032833,-0.3667525,0.348644563,0.661387652
phosphoenolpyruvate carboxylase,HVO_2621,11.306611,11.436942,11.542178,11.428577,12.016353,9.919392,11.249978,11.06190767,-0.366669333,0.583943793,0.758510974
ribonuclease Z,HVO_0144,7.212703,7.2676983,8.648759,7.7097201,7.1425505,7.144289,7.743596,7.3434785,-0.3662416,0.512868275,0.722368321
SAM-dependent methyltransferase,HVO_0865,7.956057,8.136034,6.641195,7.577762,7.5698237,7.8484597,6.2171326,7.211805333,-0.365956667,0.623826329,0.782024588
conserved hypothetical protein,HVO_1841,7.2462277,5.984101,6.5926046,6.607644433,5.987126,6.455994,6.2856264,6.242915467,-0.364728967,0.401895153,0.672073934
prespore-specific protein 3B,HVO_A0555,8.589688,8.894755,9.245045,8.909829333,8.822355,8.660298,8.152781,8.545144667,-0.364684667,0.257818958,0.636032445
KaiC-type circadian regulator Circ4,HVO_2232,8.863421,9.084886,8.573894,8.840733667,8.628497,8.80226,7.997818,8.476191667,-0.364542,0.271000563,0.639918321
TENA/THI-4 family,HVO_B0380,6.5340447,5.86346,5.7257824,6.0410957,5.5695453,5.591456,5.870236,5.6770791,-0.3640166,0.245585976,0.635520671
transcription initiation factor TFB,HVO_A0026,8.336425,7.5621142,7.842276,7.913605067,7.4772677,7.8470783,7.3275213,7.550622433,-0.362982633,0.255864914,0.635520671
ABC-type transport system permease protein (probable substrate iron-III),HVO_1111,7.135254,8.338882,7.6701264,7.714754133,7.7088747,7.1830797,7.16409,7.3520148,-0.362739333,0.406357682,0.674592265
ABC-type transport system permease protein (probable substrate dipeptides/oligopeptides),HVO_0061,8.949632,10.06628,9.52591,9.513940667,9.730038,8.708021,9.017826,9.151961667,-0.361979,0.458926729,0.696037096
chromosome partitioning protein ParA family ATPase,HVO_A0003,7.5426984,7.654462,6.8041186,7.333759667,7.0520616,6.8520613,7.0126815,6.972268133,-0.361491533,0.257078876,0.635520671
"Dihydrodipicolinate synthase, putative",HVO_2114,8.574806,7.5165896,8.186646,8.092680533,7.874747,8.206734,7.113985,7.731822,-0.360858533,0.465111184,0.696037096
NTP pyrophosphohydrolase,HVO_0030,7.089174,7.448304,7.627962,7.38848,6.916245,6.902479,7.2651405,7.027954833,-0.360525167,0.142591679,0.533150926
putative phosphatidate cytidylyltransferase synthase,HVO_B0274,9.595111,8.82541,9.054797,9.158439333,9.1224165,9.0084715,8.264245,8.798377667,-0.360061667,0.365144435,0.661493618
ABC-type transport system permease protein (probable substrate phosphate),HVO_A0478,6.3330646,7.5581017,6.5702753,6.820480533,6.207278,6.252801,6.924124,6.461401,-0.359079533,0.461128685,0.696037096
hypothetical protein,HVO_2098,8.235275,6.9584618,8.140542,7.778092933,7.7454667,7.802633,6.7104425,7.419514067,-0.358578867,0.544989797,0.737100721
ABC-type transport system ATP-binding protein (probable substrate dipeptides/oligopeptides),HVO_B0090,7.820934,6.858269,7.0860524,7.255085133,6.8649883,6.5214453,7.303584,6.896672533,-0.3584126,0.385509924,0.666138317
"oxidoreductase, FAD/FMN-binding superfamily",HVO_0004,6.781996,7.129052,6.8483806,6.919809533,6.3675942,6.5288405,6.7918954,6.5627767,-0.357032833,0.093799938,0.448246031
LtrC-like protein,HVO_A0141,7.9832287,6.8174725,7.4566727,7.419124633,6.8733773,7.1254807,7.1884227,7.0624269,-0.356697733,0.366404754,0.661493618
ABC-type transport system permease protein (probable substrate dipeptides/oligopeptides),HVO_B0329,7.7601333,6.136191,7.197879,7.0314011,6.582188,6.505681,6.9364944,6.6747878,-0.3566133,0.510526943,0.721979551
ABC-type transport system permease protein (probable substrate sugar),HVO_2034,8.152272,8.666954,8.44434,8.421188667,8.189133,7.328884,8.678937,8.065651333,-0.355537333,0.44672524,0.693224331
ABC-type transport system periplasmic substrate-binding protein,HVO_B0187,7.6047206,6.030373,6.396479,6.677190867,6.2759314,6.116626,6.572869,6.3218088,-0.355382067,0.511753675,0.721979551
"glycerophosphodiester phosphodiesterase, putative",HVO_B0291,9.010601,7.8723087,8.547403,8.4767709,8.172988,7.792657,8.401575,8.122406667,-0.354364233,0.39838774,0.669822713
hypothetical protein,HVO_A0434,11.678664,10.830377,11.458312,11.322451,11.3240385,12.048733,9.531529,10.96810017,-0.354350833,0.677027873,0.81558527
conserved hypothetical protein,HVO_0731,6.5354643,6.1902556,5.805203,6.1769743,5.716109,6.0231657,5.734578,5.824617567,-0.352356733,0.205275218,0.609176475
dimethylsulfoxide reductase,HVO_B0363,9.257393,7.936027,8.136531,8.443317,7.606666,8.295478,8.376129,8.092757667,-0.350559333,0.504127211,0.718507488
conserved hypothetical protein,HVO_A0437,6.839138,5.8070655,5.722443,6.122882167,5.62101,5.8305926,5.8665056,5.772702733,-0.350179433,0.394068986,0.668300866
uspA domain protein,HVO_B0344,7.590507,6.529792,7.66922,7.263173,6.9889536,6.7585406,7.0045757,6.917356633,-0.345816367,0.409653665,0.674816353
hypothetical protein SC9A4.26c,HVO_B0349,7.817151,6.525894,7.745025,7.36269,6.983338,6.8545704,7.2153044,7.0177376,-0.3449524,0.469310422,0.697304001
hypothetical protein,HVO_A0259,6.470773,5.412685,5.442734,5.775397333,5.311438,5.4080315,5.572872,5.4307805,-0.344616833,0.387935552,0.667938145
probable molybdenum cofactor biosynthesis protein A,HVO_2789,11.601432,10.895522,10.650352,11.049102,10.378402,11.925035,9.813484,10.70564033,-0.343461667,0.645943251,0.79619049
hypothetical protein,HVO_0807,6.9353876,7.238266,7.485798,7.2198172,7.575274,7.2869477,5.7736373,6.878619667,-0.341197533,0.588548863,0.760741881
conserved hypothetical protein,HVO_2796,8.222506,8.364063,7.889254,8.158607667,7.8352623,8.092952,7.524838,7.8176841,-0.340923567,0.190098803,0.595553247
conserved hypothetical protein,HVO_2314,7.519225,8.629451,8.092888,8.080521333,7.8430624,7.5168056,7.8593655,7.7397445,-0.340776833,0.372182015,0.661493618
"methylase, putative",HVO_2744,7.5507927,8.126363,7.947894,7.875016567,7.630222,7.3456073,7.627452,7.5344271,-0.340589467,0.154892703,0.546481085
DNA binding domain protein,HVO_2869,9.011732,9.163322,9.475767,9.216940333,8.936807,9.305274,8.389959,8.877346667,-0.339593667,0.319400505,0.65607814
Short-chain fatty acids transporter,HVO_0026,8.031091,8.475483,8.540619,8.349064333,8.024334,7.61771,8.386739,8.009594333,-0.33947,0.282803462,0.646700265
conserved hypothetical protein,HVO_1825,7.512052,8.066744,7.602713,7.727169667,7.2391686,7.0164332,7.907667,7.387756267,-0.3394134,0.346165983,0.661274739
unknown protein,HVO_A0032,7.818826,6.3661485,6.6279817,6.937652067,6.601648,7.034101,6.1628675,6.599538833,-0.338113233,0.545787723,0.737525967
unknown protein,HVO_A0068,7.32091,6.2523055,6.9492865,6.840834,6.393452,6.553607,6.562109,6.503056,-0.337778,0.34799125,0.661274739
hypothetical protein,HVO_2219,6.1009593,5.8775997,6.1981707,6.0589099,5.752471,5.7451954,5.6706,5.722755467,-0.336154433,0.026907479,0.249620556
endonuclease IV,HVO_0573,6.7546144,7.821964,6.960097,7.1788918,6.8842654,6.7060266,6.9386005,6.842964167,-0.335927633,0.371972372,0.661493618
L-fuculose phosphate aldolase,HVO_A0268,6.8913417,7.6363864,7.1113153,7.213014467,7.3029127,6.4751635,6.8553414,6.877805867,-0.3352086,0.361521785,0.661493618
transcription regulator,HVO_1360,9.209228,9.085258,9.361556,9.218680667,8.499698,9.33462,8.819561,8.884626333,-0.334054333,0.261925981,0.636745156
sugar epimerase/dehydratase homolog,HVO_0511,9.522226,10.098746,9.772743,9.797905,9.314321,9.24422,9.836485,9.465008667,-0.332896333,0.25465437,0.635520671
